已完成torch.nn.functional.conv1d的API条件生成, 进度1/643
已完成torch.nn.functional.conv2d的API条件生成, 进度2/643
已完成torch.nn.functional.conv3d的API条件生成, 进度3/643
已完成torch.nn.functional.conv_transpose1d的API条件生成, 进度4/643
已完成torch.nn.functional.conv_transpose2d的API条件生成, 进度5/643
已完成torch.nn.functional.conv_transpose3d的API条件生成, 进度6/643
已完成torch.nn.functional.unfold的API条件生成, 进度7/643
已完成torch.nn.functional.fold的API条件生成, 进度8/643
已完成torch.nn.functional.avg_pool1d的API条件生成, 进度9/643
已完成torch.nn.functional.avg_pool2d的API条件生成, 进度10/643
已完成torch.nn.functional.avg_pool3d的API条件生成, 进度11/643
已完成torch.nn.functional.max_pool1d的API条件生成, 进度12/643
已完成torch.nn.functional.max_pool2d的API条件生成, 进度13/643
已完成torch.nn.functional.max_pool3d的API条件生成, 进度14/643
已完成torch.nn.functional.max_unpool1d的API条件生成, 进度15/643
已完成torch.nn.functional.max_unpool2d的API条件生成, 进度16/643
已完成torch.nn.functional.max_unpool3d的API条件生成, 进度17/643
已完成torch.nn.functional.lp_pool1d的API条件生成, 进度18/643
已完成torch.nn.functional.lp_pool2d的API条件生成, 进度19/643
已完成torch.nn.functional.adaptive_max_pool1d的API条件生成, 进度20/643
已完成torch.nn.functional.adaptive_max_pool2d的API条件生成, 进度21/643
已完成torch.nn.functional.adaptive_max_pool3d的API条件生成, 进度22/643
已完成torch.nn.functional.adaptive_avg_pool1d的API条件生成, 进度23/643
已完成torch.nn.functional.adaptive_avg_pool2d的API条件生成, 进度24/643
已完成torch.nn.functional.adaptive_avg_pool3d的API条件生成, 进度25/643
已完成torch.nn.functional.threshold的API条件生成, 进度26/643
已完成torch.nn.functional.threshold_的API条件生成, 进度27/643
已完成torch.nn.functional.relu的API条件生成, 进度28/643
已完成torch.nn.functional.relu_的API条件生成, 进度29/643
已完成torch.nn.functional.hardtanh的API条件生成, 进度30/643
已完成torch.nn.functional.hardtanh_的API条件生成, 进度31/643
已完成torch.nn.functional.hardswish的API条件生成, 进度32/643
已完成torch.nn.functional.relu6的API条件生成, 进度33/643
已完成torch.nn.functional.elu的API条件生成, 进度34/643
已完成torch.nn.functional.elu_的API条件生成, 进度35/643
已完成torch.nn.functional.selu的API条件生成, 进度36/643
已完成torch.nn.functional.celu的API条件生成, 进度37/643
已完成torch.nn.functional.leaky_relu的API条件生成, 进度38/643
已完成torch.nn.functional.leaky_relu_的API条件生成, 进度39/643
已完成torch.nn.functional.prelu的API条件生成, 进度40/643
已完成torch.nn.functional.rrelu的API条件生成, 进度41/643
已完成torch.nn.functional.rrelu_的API条件生成, 进度42/643
